Name,Faction,Category,Unique,Attack,Defense,Traits,Abilities,Description,Functionality
Agent,Agency,Adept,FALSE,Basic,Basic,Spy Network,Paranormal Investigators;Raid,"You are a government agent who has been assigned to Cazarach. Although you specialize in paranormal investigation, your goal is to eleminate all threats to the Village and the Agency.",You participate in agency meetings and know who the agency is. Each night you select someone. If no other agents selected that person then you are alerted if that person is paranormal or not. If any other agents select the same person then you will peform a raid. When a house is raided everyone inside is attacked with basic offense.
Chief Agent,Agency,Special Ops.,TRUE,Basic,Basic,Spy Network,Skilled Agent,"You are the leader of a squad of goverment agents who have been assigned to Cazarach. Although you specialize in paranormal investigation, your goal is to eleminate all threats to the Village and the Agency.","You participate in agency meetings and know who the agency is. Each night you select someone, and you can choose to either investigate them or raid them. If you investigate them then you are alerted if that person is paranormal or not. If you choose to raid the house then you will peform a raid. When a house is raided everyone inside is attacked with basic offense."
Smoke,Agency,Special Ops.,TRUE,None,Basic,Spy Network;Paranormal,Smoke in the air,"You are a government agent who has been assigned to Cazarach. You have the ability to summon smoke wherever you wish. Although you specialize in paranormal investigation, your goal is to eleminate all threats to the Village and the Agency.","You participate in agency meetings and know who the agency is. Once per game, during the day, you may smoke Cazarach. if you do then once nighttime hits, everyone in your game will be alerted that there is a thick smoke over Cazarach. This will prevent non-agency members from leaving their own house. The smoke clears in the morning after."
Transfigure,Agency,Special Ops.,TRUE,None,Basic,Spy Network;Faceless;Paranormal,-,"You are a government agent who has been assigned to Cazarach. You have the ability to transform into the dead. Although you specialize in paranormal investigation, your goal is to eleminate all threats to the Village and the Agency.","You participate in agency meetings and know who the agency is. Each night, you will take on the appearance of a random person who died the day before. You will gain their role for the night, except you will still be part of the agency. If your name for some reason would show up on someone's screen then your name would be replaced with that of the person that you transformed into. You transform back into your normal state in the morning. You are paranormal."
Xenologist,Agency,Special Ops.,TRUE,None,Basic,-,-,"You are a government enlisted doctor who is skilled in dealing with aliens. Although you specialize in paranormal investigation, your goal is to eleminate all threats to the Village and the Agency.","You participate in agenct meetings and know who the agency is. Each night you can select two people, you unprobe all of your targets."
Protester,Village,Support,FALSE,None,None,-,Protest,You are a rights activist who doesn't like the amount of crime happening Cazarach. Your goal is to eliminate all threats to the Village.,"Each day you can choose to hold a protest outside someone's house in then following night. They may not leave their house unless they stamp the protest. They may only stamp the protest if they have an ability which can target someone each night. If they stamp the protest then they are forced to use their ability on you. If you die in a protest then it will say ""<YOURNAME> died while holding a protest outside of <TARGETNAME>'s house""."
DJ,Village,Support,FALSE,None,None,-,Party,You are a skilled mixer who enjoys hosting parties during the night. Your goal is to eliminate all threats to the Village.,"Every other day you can choose to hold a party at your house in the following night. When doing so you must choose a person who you want to cater your music towards, you may not. The person you chose is forced to attend. It will also force people who are in the same role genre as that person to attend. During that night, all players who are not forced to attend will be notified of the party's existence and given the option to attend. All attendees are role-blocked. No other DJs are ever forced to attend."
Detective,Village,Support,FALSE,None,None,-,Investigate,You are crime solver who can investigate suspicous characters. Your goal is to eliminate all threats to the Village.,"Each night you can investigate someone and they will either be suspicous or innocent. By default, all town are innocent and everyone else is suspicous."
Psychologist,Village,Support,FALSE,None,None,-,Diagnose,You are an individual who can diagnose certain conditions that allow you to deduce people's roles and even convert certain roles. Your goal is to eliminate all threats to the Village.,Each night you can diagnose someone. When you diagnose someone you must choose a role you think they are. You will be alerted if your guess is right or not.
Witness,Village,Support,FALSE,None,None,Onlooker,-,You are an innocent who mistakenly witnessed a group of bandits holding a meeting. Your goal is to eliminate all threats to the Village.,On the first night you are told who is in the bandits. The bandits will know that someone observed them. You are paranormal.
